Scarab gitrev: 3541854
Scarab started at Fri Nov  1 13:51:15 2024

Initialized Ramulator. 
** Heartbeat:   5% -- { 1000000 } -- 0.00 KIPS (15.62 KIPS)
** Heartbeat:  10% -- { 2000000 } -- 10.75 KIPS (12.74 KIPS)
** Heartbeat:  15% -- { 3000003 } -- 10.99 KIPS (12.10 KIPS)
** Heartbeat:  20% -- { 4000007 } -- 11.63 KIPS (11.98 KIPS)
** Heartbeat:  25% -- { 5000008 } -- 10.64 KIPS (11.68 KIPS)
** Heartbeat:  30% -- { 6000008 } -- 8.62 KIPS (11.03 KIPS)
** Heartbeat:  35% -- { 7000011 } -- 8.70 KIPS (10.62 KIPS)
** Heartbeat:  40% -- { 8000013 } -- 16.39 KIPS (11.11 KIPS)
** Heartbeat:  45% -- { 9000017 } -- 10.64 KIPS (11.06 KIPS)
** Heartbeat:  50% -- { 10000018 } -- 10.64 KIPS (11.01 KIPS)
** Heartbeat:  55% -- { 11000018 } -- 7.75 KIPS (10.61 KIPS)
** Heartbeat:  60% -- { 12000021 } -- 15.63 KIPS (10.90 KIPS)
** Heartbeat:  65% -- { 13000021 } -- 10.87 KIPS (10.90 KIPS)
** Heartbeat:  70% -- { 14000021 } -- 9.90 KIPS (10.82 KIPS)
** Heartbeat:  75% -- { 15000023 } -- 10.99 KIPS (10.83 KIPS)
** Heartbeat:  80% -- { 16000025 } -- 8.62 KIPS (10.66 KIPS)
** Heartbeat:  85% -- { 17000025 } -- 16.39 KIPS (10.88 KIPS)
** Heartbeat:  90% -- { 18000025 } -- 9.43 KIPS (10.79 KIPS)
** Heartbeat:  95% -- { 19000025 } -- 9.35 KIPS (10.70 KIPS)
** Core 0 Finished:    insts:20000000    cycles:12090682    time:3778338125000       -- 1.65 IPC (1.65 IPC) --  N/A  KIPS (10.48 KIPS)
Scarab finished at Fri Nov  1 14:23:04 2024

